N,K,alpha,beta,ll,perplexity,coherence,topics,weights
4000,4,0.1,0.1,-4554785.5,2716.703857421875,0.46783834784262146,"[['edu', 'line', 'subject', 'organization', 'com', 'like', 'host', 'nntp', 'good', 'right'], ['writes', 'know', 'use', 'way', 'window', 'work', 'need', 'god', 'want', 'question'], ['people', 'posting', 'time', 'think', 'said', 'point', 'government', 'case', 'group', 'space'], ['article', 'university', 'new', 'year', 'reply', 'day', 'max', 'number', 'look', 'information']]","[[0.042030204, 0.031421874, 0.0302926, 0.027465994, 0.024598323, 0.014927632, 0.012073648, 0.011704068, 0.009253886, 0.008514725], [0.017776344, 0.01314793, 0.009755918, 0.008182905, 0.008105225, 0.006933557, 0.006700518, 0.0066552046, 0.0066422583, 0.006363906], [0.014267468, 0.013465888, 0.0116687985, 0.0098781735, 0.005792704, 0.0056375596, 0.004648514, 0.004558013, 0.004299439, 0.0041184374], [0.019412812, 0.014362218, 0.010805968, 0.01008035, 0.006157699, 0.0061002243, 0.0060786717, 0.0057050856, 0.0055326615, 0.0054608183]]"
4000,4,0.5,0.5,-4649452.5,3201.958740234375,0.5209470250585089,"[['writes', 'like', 'know', 'time', 'new', 'year', 'right', 'thing', 'god', 'state'], ['line', 'organization', 'people', 'university', 'good', 'way', 'problem', 'need', 'world', 'game'], ['think', 'work', 'want', 'question', 'point', 'day', 'come', 'mean', 'case', 'group'], ['edu', 'subject', 'com', 'article', 'posting', 'host', 'nntp', 'use', 'window', 'distribution']]","[[0.015890144, 0.012621281, 0.011753441, 0.010445896, 0.008704431, 0.008120086, 0.007200176, 0.0066158306, 0.0059504868, 0.0057653477], [0.030685486, 0.02682265, 0.014752959, 0.013369556, 0.009038903, 0.008450789, 0.008089901, 0.0069203572, 0.0067465967, 0.005597102], [0.010127547, 0.007059798, 0.0068080174, 0.0065164817, 0.0057810172, 0.0056286235, 0.005224449, 0.0047672684, 0.0046745073, 0.0043829717], [0.03151669, 0.022715727, 0.018446105, 0.013868576, 0.01069715, 0.009054987, 0.008777872, 0.007736125, 0.006427527, 0.0051753777]]"
4000,7,0.1,0.1,-4326812.0,1828.7889404296875,0.5111195995352046,"[['time', 'right', 'god', 'day', 'come', 'going', 'believe', 'better', 'car', 'fact'], ['people', 'state', 'said', 'new', 'way', 'key', 'lot', 'david', 'number', 'opinion'], ['edu', 'line', 'subject', 'organization', 'com', 'writes', 'posting', 'university', 'host', 'nntp'], ['article', 'like', 'know', 'think', 'good', 'thing', 'year', 'want', 'world', 'reply'], ['max', 'game', 'team', 'gun', 'win', 'player', 'play', 'sound', 'year', 'apple'], ['distribution', 'point', 'mail', 'group', 'need', 'drive', 'law', 'information', 'news', 'chip'], ['use', 'window', 'file', 'program', 'bit', 'problem', 'case', 'available', 'software', 'help']]","[[0.016995413, 0.012552432, 0.010381429, 0.008553749, 0.007957986, 0.0068876306, 0.006554407, 0.0064534303, 0.006402942, 0.0059990343], [0.024272574, 0.010741862, 0.009848637, 0.00966117, 0.007940884, 0.007874719, 0.006529367, 0.0062867627, 0.005536895, 0.0048642186], [0.06528043, 0.048803795, 0.04704983, 0.042659607, 0.038205598, 0.029191285, 0.022154167, 0.021261238, 0.018752538, 0.018178513], [0.03214849, 0.025949845, 0.024165204, 0.018180715, 0.016086739, 0.01360014, 0.012814899, 0.0122200195, 0.012005863, 0.010197428], [0.01402974, 0.0138970865, 0.009768254, 0.009370294, 0.007148353, 0.0061368714, 0.0056560035, 0.0055565136, 0.0054072784, 0.0054072784], [0.012432906, 0.010896129, 0.010059021, 0.008247374, 0.008059962, 0.0079225255, 0.007835067, 0.006673113, 0.0062483135, 0.006223325], [0.0150514925, 0.012504794, 0.009009323, 0.0077409674, 0.0071816924, 0.007171705, 0.0063427794, 0.005543815, 0.005503867, 0.005403996]]"
4000,7,0.5,0.5,-4525020.5,2579.89013671875,0.482023132032456,"[['people', 'like', 'know', 'university', 'way', 'thing', 'need', 'want', 'point', 'day'], ['use', 'time', 'window', 'problem', 'right', 'work', 'question', 'new', 'number', 'government'], ['think', 'game', 'believe', 'jesus', 'win', 'word', 'bad', 'play', 'time', 'mark'], ['edu', 'subject', 'organization', 'article', 'posting', 'nntp', 'good', 'distribution', 'reply', 'help'], ['year', 'god', 'world', 'team', 'gun', 'state', 'life', 'new', 'christian', 'let'], ['line', 'com', 'writes', 'host', 'file', 'mail', 'program', 'information', 'key', 'available'], ['max', 'wire', 'ground', 'circuit', 'cable', 'catholic', 'outlet', 'wiring', 'nec', 'giz']]","[[0.015840156, 0.01565359, 0.014577249, 0.014326103, 0.009073557, 0.008205309, 0.007430343, 0.007372938, 0.0062463675, 0.0060956795], [0.012855851, 0.012625444, 0.010688319, 0.010329909, 0.009297344, 0.00914374, 0.008392784, 0.008247713, 0.0067799357, 0.006139917], [0.019056527, 0.010924503, 0.0071835076, 0.0061752964, 0.0055915946, 0.0051670847, 0.0049282974, 0.0044905213, 0.0043313303, 0.004132341], [0.05890336, 0.04245473, 0.038493633, 0.02591978, 0.01999252, 0.01640547, 0.012962288, 0.009643788, 0.008185951, 0.007447441], [0.010393053, 0.008238347, 0.0059234397, 0.0046738703, 0.004497649, 0.0044415784, 0.004361478, 0.0043054074, 0.0041852565, 0.003832814], [0.03578927, 0.02804683, 0.021436097, 0.013771707, 0.0070517072, 0.0063180486, 0.006052683, 0.00593561, 0.0055765854, 0.004444878], [0.017512428, 0.004587821, 0.003614333, 0.0035107706, 0.0030136702, 0.0029515328, 0.002723695, 0.002640845, 0.002557995, 0.0025372824]]"
4000,10,0.1,0.1,-4233706.0,1555.8475341796875,0.5245980410727759,"[['government', 'drive', 'time', 'bit', 'scsi', 'john', 'human', 'turkish', 'cost', 'mac'], ['people', 'like', 'article', 'think', 'good', 'right', 'thing', 'god', 'state', 'world'], ['question', 'space', 'run', 'available', 'list', 'source', 'nasa', 'center', 'sun', 'system'], ['know', 'time', 'come', 'day', 'going', 'better', 'need', 'life', 'tell', 'jesus'], ['com', 'line', 'writes', 'article', 'subject', 'organization', 'car', 'gun', 'opinion', 'netcom'], ['new', 'game', 'team', 'year', 'player', 'jew', 'best', 'division', 'hockey', 'win'], ['way', 'work', 'use', 'information', 'help', 'number', 'key', 'case', 'program', 'group'], ['window', 'com', 'file', 'use', 'new', 'software', 'know', 'version', 'card', 'application'], ['edu', 'subject', 'line', 'organization', 'posting', 'university', 'host', 'writes', 'nntp', 'problem'], ['want', 'power', 'christian', 'word', 'man', 'end', 'second', 'sound', 'start', 'love']]","[[0.017031163, 0.015065391, 0.011583843, 0.009831227, 0.009215443, 0.008623344, 0.008623344, 0.007675984, 0.007557564, 0.007439144], [0.021206293, 0.020937262, 0.016555915, 0.014682313, 0.0127318455, 0.011895931, 0.01098315, 0.009878206, 0.008898168, 0.008869343], [0.013487116, 0.011501328, 0.010869486, 0.010219592, 0.008089382, 0.007854698, 0.0078366455, 0.00780054, 0.007746382, 0.0075839087], [0.019410636, 0.01629127, 0.009408855, 0.0086042555, 0.007923441, 0.007329276, 0.0071188426, 0.0068712737, 0.0059057553, 0.005757214], [0.060208127, 0.02436476, 0.023285557, 0.022481894, 0.019680554, 0.017476222, 0.014537112, 0.012952748, 0.008291504, 0.007671536], [0.016269801, 0.014978404, 0.010566133, 0.009705202, 0.006602264, 0.006171799, 0.0058130776, 0.005741333, 0.0055619725, 0.005364676], [0.016961208, 0.012785848, 0.012105823, 0.010296953, 0.00994334, 0.009712131, 0.009698531, 0.0092905145, 0.008950502, 0.008787296], [0.021088852, 0.01637287, 0.01406541, 0.01037684, 0.010056827, 0.008574662, 0.007783051, 0.0075472523, 0.0070924973, 0.0070082834], [0.08808663, 0.051194407, 0.050635, 0.046647426, 0.029879542, 0.028674662, 0.025303872, 0.024844872, 0.024529308, 0.017328728], [0.018652346, 0.016321134, 0.013830976, 0.012797825, 0.009406971, 0.009142061, 0.008930133, 0.00834733, 0.0074201426, 0.007261196]]"
4000,10,0.5,0.5,-4586344.5,2869.69580078125,0.5296780081417489,"[['gun', 'chip', 'government', 'gov', 'clipper', 'clinton', 'encryption', 'access', 'technology', 'crime'], ['line', 'subject', 'organization', 'com', 'writes', 'article', 'university', 'host', 'distribution', 'new'], ['people', 'know', 'like', 'time', 'good', 'right', 'way', 'thing', 'god', 'want'], ['edu', 'nntp', 'world', 'jesus', 'jew', 'israeli', 'turkish', 'john', 'book', 'man'], ['game', 'team', 'edu', 'year', 'player', 'play', 'hockey', 'win', 'season', 'run'], ['edu', 'window', 'posting', 'file', 'nntp', 'use', 'mail', 'key', 'program', 'software'], ['space', 'nasa', 'science', 'american', 'tax', 'health', 'research', 'center', 'study', 'disease'], ['think', 'posting', 'year', 'state', 'use', 'point', 'look', 'work', 'case', 'power'], ['edu', 'science', 'andrew', 'cwru', 'frank', 'sun', 'reply', 'columbia', 'henry', 'toronto'], ['colorado', 'bank', 'msg', 'pitt', 'dod', 'simms', 'food', 'gordon', 'pin', 'bnr']]","[[0.012686634, 0.011243178, 0.01013803, 0.0056497813, 0.0055144574, 0.0042965403, 0.004071, 0.00395823, 0.0036650277, 0.0036650277], [0.054946568, 0.052960042, 0.04802963, 0.038862895, 0.032867417, 0.0323289, 0.023928054, 0.021115804, 0.012068738, 0.011925134], [0.01481329, 0.013672507, 0.013348498, 0.010925181, 0.009021628, 0.007907846, 0.007793093, 0.007617588, 0.0069425693, 0.006929069], [0.0263415, 0.0103637455, 0.008800541, 0.0069968435, 0.0052683, 0.0051330226, 0.0048173754, 0.004802345, 0.0045167594, 0.0043965126], [0.011158863, 0.007773202, 0.007621193, 0.0051890444, 0.00510613, 0.0046639214, 0.0042908075, 0.0041387985, 0.004083522, 0.0031991045], [0.013762289, 0.009230758, 0.007360011, 0.00660724, 0.006234581, 0.0060706115, 0.005161324, 0.0051389644, 0.0048035714, 0.004058254], [0.008584314, 0.0069272425, 0.004791841, 0.003664349, 0.003254352, 0.0031860191, 0.0031176861, 0.0030322701, 0.0029126876, 0.0027931053], [0.011792394, 0.008011879, 0.007614801, 0.0067131026, 0.005736952, 0.005430871, 0.0048104366, 0.004727712, 0.0046698046, 0.0041982746], [0.048385132, 0.0060039945, 0.00434772, 0.0039092945, 0.0033977982, 0.0030811573, 0.0030568005, 0.0030324436, 0.0028863016, 0.0026914459], [0.004928969, 0.0039566793, 0.0036595906, 0.0034975423, 0.0034705342, 0.0032274618, 0.0030113973, 0.0029843894, 0.0028763572, 0.0023091882]]"
4000,13,0.1,0.1,-4198617.5,1463.9034423828125,0.5183630231866924,"[['time', 'good', 'way', 'people', 'right', 'thing', 'year', 'new', 'want', 'day'], ['window', 'use', 'bit', 'work', 'space', 'set', 'version', 'nasa', 'sun', 'run'], ['information', 'group', 'jesus', 'read', 'message', 'service', 'law', 'internet', 'public', 'news'], ['max', 'car', 'sound', 'speed', 'jim', 'memory', 'mac', 'giz', 'keith', 'andrew'], ['edu', 'line', 'subject', 'organization', 'com', 'article', 'posting', 'university', 'host', 'nntp'], ['file', 'program', 'application', 'code', 'widget', 'available', 'server', 'mit', 'color', 'use'], ['game', 'team', 'year', 'player', 'jew', 'play', 'hockey', 'american', 'season', 'new'], ['drive', 'power', 'scsi', 'win', 'john', 'period', 'second', 'lot', 'hit', 'hard'], ['writes', 'know', 'card', 'sale', 'apple', 'think', 'netcom', 'monitor', 'software', 'let'], ['government', 'key', 'use', 'number', 'point', 'place', 'israel', 'chip', 'end', 'different'], ['writes', 'think', 'know', 'god', 'people', 'said', 'like', 'world', 'come', 'believe'], ['question', 'israeli', 'human', 'opinion', 'wrong', 'study', 'drug', 'non', 'evidence', 'church'], ['gun', 'state', 'word', 'john', 'great', 'weapon', 'law', 'area', 'war', 'crime']]","[[0.024141902, 0.018001482, 0.016914682, 0.016520718, 0.015814297, 0.015298068, 0.013504848, 0.012961448, 0.012757673, 0.010991623], [0.025825227, 0.015079325, 0.013511784, 0.010438581, 0.010129198, 0.009881692, 0.009036045, 0.008685411, 0.008169773, 0.007942892], [0.012990058, 0.01081891, 0.009016082, 0.008899771, 0.008008049, 0.00771727, 0.0076784994, 0.007426491, 0.0072326385, 0.0067286217], [0.029388048, 0.022668498, 0.008285025, 0.007776519, 0.0065415744, 0.0046165134, 0.004434904, 0.004434904, 0.004071685, 0.0038537534], [0.073144384, 0.054682903, 0.05271765, 0.04779856, 0.042808004, 0.032183718, 0.024822949, 0.023822455, 0.021011546, 0.020368371], [0.0146552045, 0.011077128, 0.008755638, 0.00741386, 0.0072860713, 0.006668427, 0.006327658, 0.00630636, 0.0061359755, 0.006093379], [0.01848032, 0.0131879505, 0.009252599, 0.007963433, 0.007918199, 0.0071492223, 0.00701352, 0.0064254794, 0.0064028623, 0.006221927], [0.02070069, 0.01603556, 0.012750259, 0.0098920455, 0.008347954, 0.007395216, 0.0058839764, 0.0058511235, 0.0056540053, 0.0056211525], [0.036513098, 0.017463068, 0.011653946, 0.010777709, 0.010161098, 0.009836566, 0.008246359, 0.007629748, 0.007110497, 0.006039541], [0.013449742, 0.013261133, 0.009243751, 0.008866532, 0.0087156445, 0.0070936033, 0.0070370203, 0.0061128335, 0.005282952, 0.005264091], [0.023577714, 0.01780364, 0.017789096, 0.014923874, 0.014385737, 0.011055099, 0.010182443, 0.009775204, 0.008873458, 0.008786193], [0.014338909, 0.008069629, 0.0079986565, 0.007833052, 0.0068394304, 0.0066974848, 0.006602854, 0.006389935, 0.006271647, 0.006177016], [0.016422793, 0.011881124, 0.009988762, 0.009959648, 0.007164775, 0.006611623, 0.0065825097, 0.0062040375, 0.0060002445, 0.0059711314]]"
4000,13,0.5,0.5,-4654540.0,3230.363525390625,0.5808405816601303,"[['space', 'nasa', 'gov', 'orbit', 'moon', 'center', 'mission', 'earth', 'henry', 'station'], ['game', 'team', 'new', 'year', 'player', 'nntp', 'play', 'hockey', 'season', 'run'], ['god', 'christian', 'question', 'state', 'israel', 'israeli', 'new', 'human', 'book', 'bible'], ['scsi', 'ide', 'controller', 'quadra', 'isa', 'sound', 'candida', 'bus', 'eisa', 'music'], ['edu', 'line', 'subject', 'organization', 'writes', 'article', 'university', 'netcom', 'apple', 'looking'], ['com', 'posting', 'host', 'newsreader', 'tin', 'cwru', 'michael', 'apr', 'texas', 'washington'], ['gun', 'sale', 'state', 'firearm', 'ohio', 'weapon', 'card', 'magnus', 'amendment', 'shipping'], ['car', 'drive', 'speed', 'engine', 'driver', 'uiuc', 'tire', 'ray', 'dealer', 'owner'], ['nntp', 'distribution', 'usa', 'jim', 'reply', 'vax', 'dog', 'steve', 'jon', 'originator'], ['max', 'science', 'drug', 'food', 'insurance', 'health', 'disease', 'colorado', 'msg', 'aid'], ['people', 'like', 'know', 'think', 'time', 'good', 'right', 'thing', 'way', 'year'], ['com', 'window', 'line', 'use', 'subject', 'nntp', 'posting', 'file', 'edu', 'program'], ['wire', 'circuit', 'cable', 'ground', 'outlet', 'nec', 'wiring', 'monitor', 'box', 'electrical']]","[[0.01247956, 0.009618005, 0.0065974747, 0.0034179688, 0.0029183321, 0.002827489, 0.0027820675, 0.002736646, 0.0027139352, 0.002668514], [0.009851008, 0.0069525954, 0.005706997, 0.0046170983, 0.004401514, 0.004149999, 0.0039823223, 0.0036948763, 0.0035271996, 0.0032517307], [0.014559315, 0.007485788, 0.0062851687, 0.0054172515, 0.005402786, 0.0049398965, 0.0045782644, 0.0042310976, 0.00410091, 0.0038694653], [0.01206966, 0.004880543, 0.0035790647, 0.0023085743, 0.0023085743, 0.0020916613, 0.0020606737, 0.002029686, 0.0016578352, 0.0015028974], [0.07581164, 0.05048233, 0.04893098, 0.047675796, 0.03873438, 0.0365907, 0.027155671, 0.0045764814, 0.0044072433, 0.004280315], [0.052783642, 0.025263852, 0.022440633, 0.005474934, 0.0047097625, 0.0043403693, 0.0041556726, 0.0037862796, 0.0037598945, 0.0032058049], [0.008690906, 0.006451703, 0.006423713, 0.0055840123, 0.0048002913, 0.003148879, 0.0027290285, 0.002365158, 0.0019453075, 0.0019173174], [0.016792305, 0.006633163, 0.0049309665, 0.004093378, 0.002661371, 0.0025532949, 0.002283105, 0.002120991, 0.0019858961, 0.0018508012], [0.014803673, 0.0075205825, 0.00530399, 0.004544015, 0.0030240659, 0.002770741, 0.0027390753, 0.00220076, 0.0016941102, 0.0016624446], [0.01875237, 0.007072119, 0.0048687453, 0.0045133624, 0.0043949015, 0.004371209, 0.003968442, 0.0036130592, 0.003210292, 0.0029970622], [0.010911065, 0.009058679, 0.008271416, 0.007787737, 0.0076385173, 0.006218355, 0.0058736056, 0.0054722554, 0.0053950725, 0.0046849917], [0.008926771, 0.0077924123, 0.006380766, 0.0060530626, 0.005693849, 0.0056560375, 0.0055678096, 0.0055489033, 0.0048304764, 0.0047359467], [0.0057269754, 0.004402369, 0.0039348607, 0.0037270791, 0.003415407, 0.003337489, 0.0033115163, 0.0028180354, 0.0026621993, 0.0025063632]]"
4000,16,0.1,0.1,-4247172.5,1592.648681640625,0.5376709595904083,"[['good', 'way', 'government', 'year', 'people', 'different', 'course', 'true', 'turkish', 'post'], ['max', 'period', 'pitt', 'bank', 'giz', 'play', 'jim', 'power', 'mike', 'gordon'], ['output', 'tax', 'keith', 'caltech', 'objective', 'moral', 'morality', 'jon', 'buf', 'copy'], ['com', 'israeli', 'distribution', 'arab', 'food', 'org', 'help', 'year', 'research', 'policy'], ['science', 'nasa', 'gov', 'world', 'year', 'david', 'access', 'columbia', 'uucp', 'scientific'], ['space', 'power', 'use', 'wire', 'work', 'ground', 'circuit', 'box', 'outlet', 'good'], ['god', 'state', 'believe', 'jesus', 'word', 'israel', 'let', 'use', 'world', 'far'], ['edu', 'organization', 'line', 'subject', 'university', 'article', 'host', 'nntp', 'writes', 'reply'], ['edu', 'line', 'com', 'subject', 'posting', 'host', 'nntp', 'university', 'distribution', 'article'], ['window', 'file', 'use', 'program', 'available', 'work', 'help', 'information', 'software', 'application'], ['mean', 'armenian', 'space', 'said', 'center', 'old', 'hand', 'home', 'maybe', 'difference'], ['new', 'posting', 'information', 'service', 'public', 'long', 'group', 'read', 'place', 'american'], ['like', 'people', 'organization', 'know', 'writes', 'think', 'article', 'subject', 'line', 'com'], ['organization', 'drive', 'scsi', 'good', 'chip', 'run', 'speed', 'key', 'netcom', 'use'], ['time', 'law', 'way', 'life', 'come', 'number', 'going', 'child', 'probably', 'opinion'], ['game', 'team', 'year', 'player', 'hockey', 'season', 'division', 'league', 'win', 'play']]","[[0.013961787, 0.01114663, 0.010402125, 0.009587823, 0.008191877, 0.007935954, 0.0077730934, 0.0076567647, 0.007540436, 0.0072845123], [0.035793897, 0.007775104, 0.0068426244, 0.006798221, 0.0054217028, 0.0052884915, 0.00515528, 0.004977665, 0.0047112424, 0.0046668383], [0.006903788, 0.0068558785, 0.0061372328, 0.0059455936, 0.005418587, 0.004795761, 0.0047478513, 0.004604122, 0.003981296, 0.003981296], [0.02415017, 0.015410882, 0.00905913, 0.008653699, 0.008248269, 0.007662646, 0.005500347, 0.005094916, 0.005094916, 0.004599389], [0.020197924, 0.017048765, 0.015237998, 0.011734557, 0.011340912, 0.009136501, 0.007483192, 0.0062235277, 0.0062235277, 0.006184163], [0.008117919, 0.007808193, 0.007746248, 0.006909988, 0.00681707, 0.0062285904, 0.005237467, 0.0041224537, 0.0040295357, 0.0039366176], [0.023048157, 0.011928727, 0.010964745, 0.010426708, 0.009081615, 0.008341814, 0.007960705, 0.0069967224, 0.0069518858, 0.0066604493], [0.069654815, 0.04465206, 0.039421257, 0.03804473, 0.028959643, 0.017847309, 0.017496921, 0.01739681, 0.017321726, 0.011765559], [0.045017242, 0.034750257, 0.0313552, 0.029882643, 0.02832828, 0.02178359, 0.020760983, 0.017243212, 0.015095736, 0.012416503], [0.016945243, 0.012084412, 0.009805897, 0.008176414, 0.006022183, 0.006022183, 0.005718381, 0.00556648, 0.0055388617, 0.005497434], [0.011750849, 0.0113893775, 0.008919319, 0.008618093, 0.008286743, 0.007172205, 0.0071119596, 0.0062685255, 0.005876931, 0.00575644], [0.010783174, 0.008129691, 0.0070432248, 0.007022331, 0.0068342886, 0.0062910556, 0.00608212, 0.005977652, 0.005873184, 0.0050583347], [0.022860274, 0.02157997, 0.020336956, 0.0191188, 0.018708607, 0.018012518, 0.0171797, 0.01644632, 0.01634688, 0.014432638], [0.019397754, 0.01644428, 0.012768849, 0.012539133, 0.011981255, 0.009257497, 0.009257497, 0.007846394, 0.0077807605, 0.0076494953], [0.023159506, 0.013060687, 0.012789577, 0.012247359, 0.0121343965, 0.01132107, 0.011027368, 0.009242565, 0.009061826, 0.0074125784], [0.019742938, 0.013516708, 0.013251249, 0.008497113, 0.0074594086, 0.0070974184, 0.0068802247, 0.005383999, 0.0053357338, 0.005311601]]"
4000,16,0.5,0.5,-4647171.5,3189.30517578125,0.5052461432644266,"[['msg', 'chris', 'polygon', 'lib', 'libxmu', 'sensitivity', 'xmu', 'dyer', 'superstition', 'raider'], ['gun', 'thanks', 'card', 'apple', 'monitor', 'line', 'david', 'netcom', 'rate', 'video'], ['edu', 'posting', 'host', 'nntp', 'organization', 'use', 'distribution', 'good', 'problem', 'key'], ['com', 'line', 'bike', 'newsreader', 'tin', 'engine', 'model', 'texas', 'austin', 'corp'], ['subject', 'edu', 'writes', 'article', 'organization', 'people', 'like', 'know', 'university', 'right'], ['science', 'disease', 'output', 'program', 'line', 'value', 'file', 'study', 'alaska', 'objective'], ['insurance', 'cwru', 'cleveland', 'columbia', 'pitt', 'bank', 'utexas', 'gordon', 'picture', 'gary'], ['god', 'line', 'think', 'time', 'thing', 'jesus', 'com', 'new', 'question', 'said'], ['drive', 'scsi', 'speed', 'mac', 'hard', 'ide', 'fast', 'mhz', 'bus', 'controller'], ['wire', 'ground', 'circuit', 'outlet', 'wiring', 'power', 'firearm', 'use', 'cable', 'drug'], ['line', 'thing', 'said', 'going', 'time', 'got', 'guy', 'think', 'armenian', 'heard'], ['duo', 'radar', 'illinois', 'suck', 'cub', 'detector', 'gatech', 'prism', 'wpi', 'sho'], ['window', 'line', 'file', 'com', 'program', 'subject', 'edu', 'version', 'server', 'use'], ['game', 'team', 'line', 'year', 'player', 'hockey', 'play', 'season', 'win', 'division'], ['mov', 'michael', 'simms', 'byte', 'shipping', 'sgi', 'manual', 'disk', 'bit', 'pop'], ['max', 'space', 'nasa', 'orbit', 'earth', 'giz', 'moon', 'mission', 'shuttle', 'henry']]","[[0.004988587, 0.003184596, 0.002116928, 0.0019328473, 0.0017119505, 0.0016015021, 0.001564686, 0.0013069729, 0.0011597084, 0.0007547309], [0.012716331, 0.0075854226, 0.0075854226, 0.007557688, 0.005838141, 0.005588529, 0.004479144, 0.0043404703, 0.0041463277, 0.0035916353], [0.019626327, 0.01914313, 0.016528182, 0.016177626, 0.012558387, 0.008797029, 0.007925379, 0.007773788, 0.006731598, 0.0065515838], [0.065916784, 0.03320701, 0.006652153, 0.005415793, 0.0046901037, 0.004071924, 0.0038569048, 0.0035612537, 0.0035612537, 0.0031849702], [0.022424981, 0.019769507, 0.016099911, 0.015566472, 0.014540627, 0.012776172, 0.0119086, 0.011181715, 0.010618966, 0.00692006], [0.0041449266, 0.0036417088, 0.003509283, 0.0030590354, 0.002820669, 0.0025028472, 0.0024498769, 0.0023969065, 0.0023439361, 0.0023174512], [0.0054308474, 0.004764663, 0.0041564084, 0.0040405504, 0.003924692, 0.0034322955, 0.003345402, 0.0033164374, 0.0027081824, 0.002679218], [0.010995364, 0.008542344, 0.005765137, 0.0053328867, 0.0051491805, 0.005041118, 0.0045224177, 0.003949686, 0.003355342, 0.0033445358], [0.015980372, 0.0101126805, 0.00754232, 0.0070230556, 0.0049200333, 0.0040892097, 0.003466092, 0.0032583862, 0.003232423, 0.003024717], [0.0057449103, 0.004048427, 0.003637158, 0.0033287066, 0.003277298, 0.0028660293, 0.0027889162, 0.0026860991, 0.0024290562, 0.0024290562], [0.0129670985, 0.0076827505, 0.006880662, 0.0066762078, 0.006534663, 0.0062515726, 0.0045058504, 0.004490123, 0.0039239433, 0.0036723076], [0.0022898095, 0.0017654257, 0.0016605488, 0.0015207132, 0.0014507953, 0.0012410418, 0.001101206, 0.0009613704, 0.0009264115, 0.0007166579], [0.013208783, 0.010265143, 0.007396704, 0.0068488, 0.0056455596, 0.0056133303, 0.0052910335, 0.0043993467, 0.0039481316, 0.003862186], [0.011432497, 0.008221853, 0.0064863693, 0.00538723, 0.005343843, 0.004490563, 0.0043893266, 0.004273628, 0.003912069, 0.0033046496], [0.0044928766, 0.0041987975, 0.003741341, 0.0032838844, 0.0022382694, 0.0021729185, 0.0021075676, 0.0019441904, 0.0018461639, 0.0018134884], [0.019702457, 0.013406422, 0.010294869, 0.003658507, 0.0031480177, 0.0029778546, 0.0028806184, 0.0028076915, 0.0028076915, 0.0026375283]]"
